Mã sản phẩm,Tên sản phẩm,Thương hiệu,Danh mục,Giá lẻ (VND),Số lượng/thùng,Giá thùng (VND),Mô tả,Hình ảnh,Ngày tạo,Ngày cập nhật
"camel_3dg_bong_lop_can_5l_94966222","3DG Bóng lốp can 5L","Camel","Bọt rửa xe",180000,6,1050000,"","https://i.ibb.co/tTQNtyVg/camel-3dg-bong-lop-can-5l-94966222-detail.jpg","09:09:26 4/7/2025","20:45:23 30/9/2025"
"camel_camel_b_ng_cafe","Camel Bóng cafe","Camel","Bọt rửa xe",50000,12,600000,"","https://i.ibb.co/rKWKRQ2h/camel-camel-b-ng-cafe-detail.jpg","19:18:04 20/6/2025","20:45:23 30/9/2025"
"camel_camel_b_ng_th__ng","Camel Bóng thường","Camel","Bọt rửa xe",50000,12,600000,"","https://i.ibb.co/BHkTwjjN/camel-camel-b-ng-th-ng-detail.jpg","19:18:05 20/6/2025","20:45:23 30/9/2025"
"camel_camel_b_t_v_ng","Camel Bọt vàng","Camel","Bọt rửa xe",30000,12,330000,"","https://i.ibb.co/q3LyKB9j/camel-camel-b-t-v-ng-detail.jpg","19:18:04 20/6/2025","20:45:23 30/9/2025"
"camel_camel_b_t_xanh","Camel Bọt xanh","Camel","Bọt rửa xe",40000,12,450000,"","https://i.ibb.co/TBzrPLFn/camel-camel-b-t-xanh-detail.jpg","19:18:04 20/6/2025","20:45:23 30/9/2025"
"camel_dau_phanh_nippon_28938424","Dầu phanh Nippon","Camel","Dầu phanh",60000,24,1390000,"","https://i.ibb.co/rT10MDK/camel-dau-phanh-nippon-28938424-detail.jpg","08:35:38 24/6/2025","20:45:23 30/9/2025"
"camel_nippon_xit_29040316","Nippon Xịt","Camel","Xịt bảo dưỡng",50000,12,540000,"","https://i.ibb.co/4ZY4kYZH/camel-nippon-xit-29040316-detail.jpg","08:37:20 24/6/2025","20:45:23 30/9/2025"
"camel_tay_bang_dinh_29248268","Tẩy băng dính","Camel","Xịt bảo dưỡng",50000,12,540000,"","https://i.ibb.co/hJvH5xGj/camel-tay-bang-dinh-29248268-detail.jpg","08:40:48 24/6/2025","20:45:23 30/9/2025"
"castrol_castrol_10w40","Castrol 10W40","Castrol","Nhớt ô tô",520000,6,3120000,"","https://i.ibb.co/S4qtSJW3/castrol-castrol-10w40-detail.jpg","19:18:05 20/6/2025","20:45:23 30/9/2025"
"castrol_castrol_15w40","Castrol 15W40","Castrol","Nhớt ô tô",430000,6,2580000,"","https://i.ibb.co/Cp8nNqLq/castrol-castrol-15w40-detail.jpg","19:18:05 20/6/2025","20:45:23 30/9/2025"
